journal,continuity,topic_focus,contradiction_integration,cognitive_clarity,narrative_closure,overall_entropy,reasoning
"Might
Started Sunday morning watching the UU service. It opened with the song I Wish I Knew How It Feels (best known
as being s
ung by Nina Simone)--I love this song! The sermon was MLK-based, how we don't have to like the person to love the person, to love the potential they hold. I felt really good afterward, but wouldn't you know it, minutes after the service ended, a car came down the street, whistle blowing. I grabbed my parka and gear (mask, safety glasses, whistle) donned my boots and mittens and out the door I went, walk/running toward the retail area. I walked 2 blocks east, 2 blocks north, 2 blocks south. Nothing. I saw a few cars going from parking lot  to parking lot,  I imagine looking for the same thing I was looking for, but there was nothing, so I headed home. Asked a young man I passed if he'd seen any ICE, but he'd only heard the whistle the same time I did. False alarm. I sure hope someone didn't think that was a funny joke. Two hours later, a caravan of three SUVs with tinted windows (illegal in MN and a sure sign of ICE) went down my street, and once again I found myself donning my gear and out the door, but again, nothing. At least I got my steps in for the day.
It snowed lightly all morning into early afternoon (maybe 2"") and by 2pm it had stopped, so at 3pm honey and I agreed to rendezvous halfway between our houses to bring him the soup. The roads were icy in spots, he and I both seeing people in the ditch upside down as we drove to the rendezvous site. I secretly hoped it was ICE, the idiots they are not knowing what black ice is. I told him about my Saturday, talking to the immigrant neighbor, and for some reason, honey had tears in his eyes as I told the story. I didn't want to embarrass him, so I didn't ask what that was about. As we were talking in the car, round two of the winter weather slammed the car with a big gust of wind, so we went our separate ways as the blowing snow/blizzard conditions moved in. The wind howled all night.
Today will be the coldest day of winter so far, -8F, windchill -30F as I walked. Might get above zero.
The hardy flock of robins that doesn’t migrate were puffed up and huddled in the buckthorn, breakfasting on the berries.
And it is also my birthday. I've long given up planning anything for my birthday since it is always either horribly cold or stormy or both. I am not selfish enough to expect anyone to come out to celebrate in those conditions. And honey called at 6:30am and sung me happy birthday.",4,4,5,4,4,3,"The entry is chronologically organized and easy to follow, with coherent development of a few related topics: the service, ICE alerts, weather, meeting with honey, and the birthday note. There are minor rough spots from line-break artifacts and a few quick shifts, but these are intentional transitions rather than fragmentation. Conflicts or mixed feelings are handled coherently, and the piece ends with a clear, grounded closing detail."
"Those who stay silent (or worse, support) are just as guilty as those committing the atrocities.
Thank you to all who sent birthday greetings. Very much appreciated :)
I don't know. After learning about the US citizen with no criminal record, door broken down with no warrant, thugs refusing to look at ID, taken from his home
wearing n
othing but boxers and crocs in 10F weather, made to stand outside to be photographed, how can anyone continue to support this operation? What kind of warped mind you must have to think this is okay. Sick sick warped mind. I am unable to insert links, but the story/video are here:
https://bringmethenews.com/minnesota-news/video-ice-agents-raid-st-paul-home-detain-elderly-us-citizen-on-frigid-sunday
And here is an interview with him:
https://sahanjournal.com/immigration/st-paul-east-side-hmong-man-detained-ice-chongly-scott-thao/
I continue to be physically sickened by the humiliation this man suffered. That all people of color are suffering.
My daughter came over with the grandkids last night. When asked what he has learned about ICE, 6yo grandson said they are the bad police. I explained there are good police and there is ICE which aren't even police, they just pretend to be police and wear police costumes. What a confusing time for kids. School is cancelled Tuesday and Wednesday as they transition to remote instruction because of the kidnappings at bus stops and on school grounds. For real. Children don't need to be exposed to these armed, wreckless, thugs. And yet, here we are. My grandkids will be okay, daughter being a former teacher who left the profession after being laughed at when explaining the science of reading (that she was using successfully with her students) to the principal and reading specialist. Daughter was ahead of her time, as the science of reading is being adopted nationwide...including the school district she taught in.
Daughter told me my three children are descendants of a Holocaust survivor, they can apply for Austrian citizenship. Apparently their father has already done so. I encouraged her to do so as well, so that they have a backup plan should this progress further and gets militarized. But to please bring me along if she can. Canada won't take me cuz I'm too old. Either way, I'll just have to stay here and fight til the death.
Anyone else think the demented one is nothing more a than a spoiled 2yr old whiny brat? His letter regarding Greenland is so ridiculous. It makes zero sense to this adult. I try not to hate people. Brussel sprouts and squash I can hate. The neighbor who repeatedly harassed me for years I can hate. I don't even hate my ex. But the demented one is not making it easy for me. I continue to hold onto my fantasy that other countries have a plan to swoop in and kidnap him and Stephen Miller for war crimes.
And that pastor that is also an ICE supervisor? Wha??? The protesters went too far entering his church I think. On the other hand, if ICE can enter any public space, than so can protesters I guess. What can this person possibly preach but hatred and discrimination? Especially since he dismissed switching license plates and pepper-spraying peaceful protesters as necessary to doing their job. Those privileged white people looking out for only themselves and their own salvation got a dose of reality. But the justice dept will be investigating it, praise the lord, while not investigating Renee Good's murder. The hypocrisy.
This period of time is not unlike the civil rights movement. The only difference is this cause has no strong leader like MLK Jr. There is no charismatic strong leader speaking up and against these crimes. It is only up to the little person to take big actions. The collective group.
I read this somewhere and took a picture, but I didn't copy the author, so I apologize and make it clear the following is not my original writing:
Those who have experience with life in an authoritarian regime know best what will happen if the Trump administration continues down its current path. But they don't see it in their self-interest to speak out. Social scientists call this the ""collective action problem,"" when individuals acting in their own self-interest contribute to a worse outcome for the entire group. For advice on how to handle this, we should look back more than a century ago. An essayist who fought the corrupt politics of Tammany Hall wisely warned that speaking out is a skill that must be practiced; otherwise, we forget how to do it. A man who waits to make himself heard soon finds that ""he has nothing to say,"" John Jay Chapman told the graduating class of Hobart College.",3,3,4,4,4,5,"The entry is emotionally intense and covers several topics, but most shifts are still traceable: political outrage, family reflections, migration fears, and historical framing. There are some abrupt transitions and loosely connected digressions, yet sentences remain largely complete and understandable, with contradictions explicitly acknowledged rather than ignored. It ends with a quoted reflection that gives the piece a deliberate concluding frame rather than simply trailing off."
"At about 6pm yesterday, I was sitting quietly alone and said out loud
, I just don't know how much longer I can do this. It is exhausting always being on edge. It's exhausting being constantly bombarded by the craziness of the demented one and the gangsters and thugs. I felt like giving up, just putting on the blinders and pretending nothing is happening.
And then, I gave myself a little pep talk. This is nothing compared to what my neighbors of color are experiencing. They are relying on us to stand up for what is right. This is what the gangsters want, for us break down and submit. I won't do that. I can't do that. It's not time to give up yet. And I never go down without a good fight.
So I watched Heather Cox Richardson's 'chat' and I liked that she recognized what we live here  in Minnesota: Community is sacred to us. We will protect our community. We will care for our neighbors, whether it be pushing a car out of a snowbank, bringing our neighbor a meal, or protecting them from thugs. Obviously this is something the gangsters and demented one could never understand because they've never experienced it or extended it themselves.
And I laugh, because apparently we have progressed from protesters to rioters and now we are anarchists, says the little guy with Napolean syndrome, the head of border patrol. Nothing in our behavior has changed, mind you.
So the latest:
Several off-duty police officers of color from across the metro area have been pulled over/stopped by the thugs demanding to see their papers. One had the phone knocked out of her hand as she tried to record. She finally identified herself as a police officer and they went scurrying away like the dirty vermine they are. The gangsters will dismiss it as not happening.
The gangsters pretend that these infractions can be reported. To do so, you're supposed to supply the thug's ID number. THEY DO NOT DISPLAY BADGE NUMBERS OR NAMES. Masked and sunglassed thugs in camo costumes with no identification.
From the medical community:
A patient with insulin-dependent diabetes stopped coming to the clinic. It was discovered that the patient was out of both insulin and food, and rationing both without knowing how to adjust insulin.
A pregnant mother missed her check-up and stopped answering her phone. A nurse went to her home and found her 8 centimeters dilated and laboring alone. She delivered her baby two hours after the nurse convinced her it was safe to go to the hospital.
A patient discharged from the hospital missed their follow-up. What should have been ""a routine wound-care appointment turned into a life-threatening case of sepsis.
Plainclothes thugs have become a fixture around the hospital focusing on people of color and asking both patients and employees for paperwork as they leave.
So there you have it. Life in the thug-zone.
Still can't upload videos, but here is the link to the sound of coyotes I encountered this morning. It was loud!! I'm also really dumb, because I thought I was recording when i wasn't. Ugh.
https://youtube.com/shorts/0IF5OqZmgOo?si=CsIRvVnNHY6vUBF8",4,4,5,4,3,3,"The entry maintains a clear progression from personal exhaustion, to self-reassurance, to community reflection, to concrete examples supporting the writer's concerns. Topics are distinct and developed rather than bleeding chaotically into one another, and expression remains mostly clear despite emotionally charged language. Closure is only partial because the final shift to the coyote video feels somewhat tacked on and the broader narrative remains open-ended."
"The most heart-breaking news of yesterday was the kidnapping of a 5yo 'worst of the worst' returning home from preschool who was used as a pawn to get inside the house. He was eventually hauled away with his father who has an active immigration case. My grandson is 6. I can't even imagine how scared this child was. How traumatized he will be. How this will affect how he views the world for the rest of his life. This beautiful innocent child. These thugs have no soul. The full story here:
https://sahanjournal.com/education/ice-minnesota-columbia-heights-students-detained/
I forgot to write about 2 things yesterday. One was the immigrant in the hospital with a traumatic brain injury. When asked by hospital personnel how it happened, a nurse
on duty said the thugs reported the
reason as they had him handcuffed on the ground but he escaped, took off running and ran himself head first into a brick wall. I believe this, don't you? Especially since it has come out that a detainee from MN now in TX was murdered by asphyxiation while i  detention.
The second thing was on my walk yesterday. On the last half mile of my walk I heard a car horn: Honk. Honk-honk. I turned around and saw 2 vehicles parked side by side in an office building parking lot, lights on. It looked suspicious, because I'm pretty familiar with daily whirl of the area, so I turned back in the direction I came, to make sure nothing was amiss across the street. It turned out okay. As I was heading back in the direction of home, I picked up some litter on the sidewalk which turned out to be a book jacket. The title? The Christian Atheist. I took it as a sign from those who have gone before me that I was on the right path, doing what the ""christians"" purport to be doing, without the god/jesus nonsense that I don't believe in, and actually caring about my neighbors and not my own salvation.
Anyway, this kind of hyper-vigilance of my surroundings is what I experience whenever I'm outside. And I guess inside too, as I thought I heard a whistle yesterday afternoon and sprung up and opened the window to hear what was going on outside. I'm s
igned up to receive thug-alerts should they appear within a mile of my home. I was wakened this morning by what at first I thought was knocking on the door. Possibly a garbage truck, as there were no footsteps in the fresh snow.
Back during the covid lockdown days, people signed off emails with Be Well! or Stay Well! I've noticed people now signing off internal emails with Stay Safe! Our customers who know where we are located are doing the same. Interesting.
I want anyone who reads this to have a discussion about it with people in your communities, people who may still be thinking this is about the worst of the worst, as my neighbor did. I want you to call your Republican congress people and voice your concern for the crimes being committed by the thugs, because our Democrat leaders are being subpoenaed and investigated for following the law.
Running around like Chicken Little crying about how the sky is falling does nothing. The sky only falls by indifference. Use your voice. Don't live in fear of what 'might' happen if you speak. If you can't speak, then donate to those organizations that will speak.
Just act.
It is 7F right now. That will be the high. The low tonight expected -20F. Tomorrow's walk may be interesting.",4,4,5,4,4,3,"The entry moves across several distinct topics—news events, forgotten observations, personal vigilance, and a call to action—but the transitions are mostly intentional and understandable rather than fragmented. Sentences are generally complete and coherent, with only minor disruptions (such as the split word), and the piece ends with a deliberate closing turn rather than trailing off. The writing is emotionally charged but structurally organized, with no major unresolved contradictions."
"Temp: -17F  Windchill: -38F
Just me and the robins in the tree outside today. We are warriors.
I love lash-cicles.",5,5,5,5,4,2,"The entry is extremely brief but internally coherent: the weather observation, image of shared endurance with the robins, and closing remark about 'lash-cicles' all fit a single cold-weather theme. There is no fragmentation, contradiction, or cognitive noise; the only reason closure is not maximal is that the piece reads more like a compact vignette than a fully developed narrative arc."
"I am numb. Another person murdered by the thugs in my community. Pepper-sprayed, pinned down, executed. For trying to assist two witness bystanders who were also sprayed. There is no doubt about this one. Within minutes, the gangsters had posted a false narrative of events. Within minutes, the gangsters and thugs blocked Minneapolis police and the State Bureau of Criminal Apprehension access to the scene, despite a judicial warrant. All evidence of this murder will be erased. Yet again.
This is not caused by unruly violent agitators egged on by our mayors and governor. No one is preventing them from removing dangerous criminals. If only that was what they were actually doing. No, this is the result of poorly trained macho men being unleashed on our community who have zero regard for life or law, whose only mission is to wreak havoc on our people.
If you have been quiet up until now, I plead with you. Now is the time to speak up. How many more executed people is it going to take for you to speak out? You know this is wrong. Don't turn and walk away. Your community is next.
I was shaking for several hours, my head churning trying to find an answer, trying to understand. But evil cannot be understood.
And so I walked. And I walked. And I walked. For two hours I walked, and did not even notice the cold, despite it being 2F. I shouted as I walked.
WHY?? I shouted to the snow. Why is no one in the rest of the country coming to our aid? Why is this allowed to keep happening? HOW?? I shouted to the trees. How can this keep happening with no repercussions? How can people support this? How do they live with themselves? WHERE?? I shouted to the pond. Where is this loving god of which people speak? Where does evil and murder fit into god's plan? WHAT?? I shouted at the cars passing by. What are you doing to stop this? What can we do?
Oh what, oh what, can we do when our nation's gangsters are against us, not for us?
It feels hopeless but I am not giving up on hope. I will keep going, continue to speak. Keep watch on my neighbors.
But oh I am so numb right now.",5,5,4,5,4,2,"The entry is highly organized: it moves from describing the event, to assigning meaning, to a plea to others, to the writer's personal reaction and walking ritual, and finally to a concluding stance. Repetition is purposeful rather than fragmented, and the tension between hopelessness and persistence is explicitly acknowledged and held together with awareness. The ending remains emotionally open, but it still feels intentional and complete rather than abandoned."
"I woke up at 2am, heart pounding. Fight or flight.
I woke at 6am shaking.
I broke into tears and wailing at 10am.
I am doing all I can do.
Why do so few people understand the consequences of not speaking up? All it takes is calling or emailing any Republican Congressperson in a swing district, or any Republican Senator and saying enough. This is not about taking sides. This is about continuing to live in a country where we are free to speak, free to worship, free to carry a concealed weapon, free to be safe from goons breaking down our doors and busting out our car windows because they don't want you to have these rights. This is about preserving the US Constitution, the law of this land. What's in it for you? Everything you take for granted.
There are 27 amendments to the US Constitution of which the first ten amendments are called the Bill of Rights. The gangsters and thugs have actively disregarded almost a quarter of these 27 amendments. (Even more if Jan 6, 2021 is factored in.)
A review of constitutional rights that have been denied by this administration:
Amendment 1:
Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or
abridging
the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.
Teargassing and other chemical and physical retaliation on peaceful protesters.
Amendment 2:
A
well regulated Militia, being necessary to the security of a free State, the
right of the people to keep and bear Arms,
shall not be infringed.
Executing
Alex Pretti for carrying a concealed, unholstered, weapon with a permit.
Amendment 4: The
r
ight of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures,
shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.
Breaking down door without a warrant, holding gun to head, dragging US citizen out of home.
Amendment  5:
No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor
shall be compelled in any criminal case
to be a witness against himself, nor
be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.
Serving as judge and jury in
murdering Renee Good and Alex Pretti.
Amendment 10
:
The
powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the
pe
ople
.
Ignoring state agencies and state laws.
Amendment  14: All persons born or naturalized in the United States
,
and subject to the jurisdiction thereof,
are citizens of the United States and of the State where
in they reside. No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States; nor shall any State deprive any person of life, liberty, or property, without due process of law; nor deny to any person within its jurisdiction the equal protection of the laws.
Executive order signed Jan 20, 2025 in attempt to strip away birthright citizenship.
THIS IS NOT OKAY.",4,4,5,4,4,3,"The entry is structurally organized: it opens with a brief sequence of escalating physical distress, then shifts clearly into a sustained political argument supported by a list of constitutional amendments and examples. There is little fragmentation or looping, and despite formatting irregularities and intensity, the thoughts remain connected and purpose-driven, ending with a clear emphatic conclusion rather than trailing off."
"I'm not going to mince words. My sister is a white nationalist nazi sympathizer. Over the last 15 years, she has really gone off the deep end and it has been sad watching her decline into conspiracy theories and other such nonsense. She fancies herself much more intelligent than any of her siblings and always does ""research"" to show us how wrong we are. Her research now involves googling questions and presenting an AI summary slop as fact. For 3.5hrs yesterday, we went back and forth until I ended it, when she started spouting party line nonsense and insulted me.
I have decided my sister is dead to me. This is not a rash decision made in anger. This is from years of her drama (I spent hours one afternoon trying to talk her down when she was convinced her DIL had pushed her son off a cliff), her lies (I heard her telling my youngest that we planned his birth for December because Sagittariuses tend to be wealthy and he could support me in my old age...He was unplanned and quite a surprise) and over the years she told me one of our sisters was a hoarder and another was an alcoholic. This just scratches the surface. But the final straw is her supporting this regime that puts my children, their spouses and my grandchildren in danger. When the day of reckoning comes for all the atrocities committed by the gangsters and thugs--and it will come--I want it clear which side I was on, that I tried to help her, and she chose evil. I want it clear she is dead to me and I have nothing to do with her abetting the criminals.
Honey had a similar Sunday afternoon with a coworker. On the phone for 1.5hrs listening to the nonsense from this white supremicist. Honey told the guy he is a CHRINO--christian in name only.
Both of us emotionally exhausted by our afternoons and the weekend in its entirety, I reassured him we are doing all we can do. Others do more, yes, but we are still contributing.
Otherwise....I had two  🧊 alerts yesterday where I bundled up and patrolled, one in the retail area and one by the school area where they hold Hmong church service and across the street from that where Nigerians gather to worship. The first 🧊 alert ting on my phone, I wailed, ""Noooo I can't do this today."" And then that voice deep in my heart said ""Yes you can. You don't get to choose. This is required.""
In the sorrow and the despair, I forgot to make a batch of dinner for this week! It will have to be single portion, frozen leftovers.
I have a feeling this entry is going to look really gross when I finally save it. Oh well. I had to save the text conversation for posterity.",4,4,5,4,4,3,"The entry is emotionally intense but structurally coherent: it develops the conflict with the sister in a sustained way, then transitions intentionally to the spouse's parallel experience, community patrol activity, and a closing domestic note. Sentences are clear and connected, with minimal fragmentation or restart behavior; while there is little contradiction to integrate, the writer shows a stable stance and ends with a recognizable sense of completion rather than trailing off."
"There are whispers of hope that this occupation may be coming to an end. I will believe it when I see it. The gangsters backing out to save face after the disastrous Saturday where the corporate community, the sports community and even the NRA spoke out against them. Is it another instance of TACO, similar to Greenland? But like I said, I will believe it when I see it. Because on Saturday evening the justice dept tried to coerce state officials to turn over voter and welfare information and said this occupation would all go away. Gangsters.
Mobsters
. Peace president?? Ha. Mob boss is more like it.
The fatigue is showing as I read from a local board. This community has been through a lot, but despite the fatigue, we keep going on. If anything comes of this is that we have been a model to other cities in what to do and what not do. How to build community. When 50,000 people show up in -10F temps with -30F windchill to march against the invasion, you know something right is going on with us and wrong with the govt. But it will take a long time to regain our trust of outsiders. I wouldn't expect much Minnesota Nice if your vehicle has out of state license plates for quite awhile.
One thing that has really bothered me is how anyone filming the thugs' actions is being labeled a protester. THEY ARE OBSERVERS not protesters. No different from someone driving by and rubbernecking and/or filming a car wreck. Observers. Recorders. Are rubberneckers considered protesters?? No. Yet, thug observers have had their pictures taken and are now in a domestic terrorist database maintained by the gangsters. This is truth. And still, the observers do not hide their faces as the thugs do. You don't have to hide your face if you are doing nothing wrong.
My part in this has been small. I believe I opened some eyes that were closed. I believe I made a few people who live near me feel cared for. And I have likely made some enemies as well with my picture window plastered with posters: Choose ❤️ Choose  ☮️ Choose Kindness  Speak Up! Speak Out! and the latest: Save Democracy. I know my relationship with my next door neighbor has been damaged because I wouldn't engage in his rants about fraud when my family members were preparing for abduction and humans are being murdered. This was not my calling. I've never done anything like this before. Heck, the first protest i ever attended was last spring. But something this important that is sooooo wrong calls even the most introverted to action.
My brother reached out to Nazi sister yesterday in an attempt to open her eyes. As he said, you've buried yourself pretty deeply, I'm trying to give you a hand out. To which she proclaimed herself a victim and said we ""should find someone else to attack and not our sister."" Sigh.
I exercised last evening. It's been several weeks, because of the fatigue of events. I hurt a chest muscle--too many pushups, lol.
And it wasn't until 1pm yesterday at work that I realized business was slow because the massive storm shut schools down! My team and I all had a good laugh, because after the weekend we had here in MN, none of us paid much attention to the weather somewhere else!
Pretty sure I saw thugs in the parking lot at the dog park, two guys in a pickup, no dog in sight. I know the regulars in the mornings at the dog park. The thugs stop at parks to use bathrooms because they get chased out of businesses if they attempt it there. I made it clear I knew what they were, passing once, and then again, pointing. Fuck 'em.",4,4,5,4,3,3,"The entry is organized into distinct topical blocks—political events, community response, personal role, family conflict, exercise/work anecdote, and dog park observation—with generally clear internal coherence and intentional transitions. Language is emotionally charged and includes a few abrupt or fragmentary emphatic lines, but thoughts remain understandable and structured rather than disorganized. It has limited reflective synthesis and ends on an active vignette rather than strong closure, but overall the narrative is mostly well organized."
"6PM Tues: Well, my optimism was high for oh, about 12 hours. Now, I am so stressed and so tired. Take a break from the news, they recommend. That is the WORST thing I could do. How even, when everything is collapsing around us and I'm just supposed to ignore it?? I am so angry at the rest of the people in the states of america who are indifferent, going about their regular days. THE FUCKING COUNTRY IS FALLING APART PEOPLE! Act now or lose everything you know to be true.
I heard border patrol shot someone in AZ and that the state is investigating along with the feds. THAT IS NOT HAPPENING HERE, EVEN AFTER 3 SHOOTINGS!! Our state is being blocked from all investigations and evidence. How will our victims and their families receive justice? But hey, just go plan your vacation and go to the movies because it doesn't affect you. Don't say a word about how horribly the federal government is treating our state as though we are some foreign enemy country. I hate you all for not giving a rat's ass.
And my fucking Nazi sister. I have been ruminating all day about her playing the victim card. How she doesn't care that people's (her relatives) civil rights are being tossed out the door because it doesn't affect her lily white immediate family. That she thinks it is perfectly okay for CITIZENS to get pulled over for no reason. Stopped coming out of the store. Or pulled out of their homes in their underwear. Or murdered for being an observer and protector. Just be respectful to the very ""law enforcement officers"" who are incinerating your civil rights and violating every law. Let them do their job and everything will be fine she says. The Brown Shirt and Nazi sympathizers said the same thing to the Jews. I hate her. I hate people who dont recognize their white privilege and walk without fear or a clue, who have the gall to complain about the immigrants, legal or not. WHERE IS YOUR SOUL?
I hate everything and everybody right now. Fuck you and you and you.
10pm Tues:  I have cried more in the the last few weeks than I have all of last year, and tonight was no exception. I didn't cry about any one thing, i just cried for the world. Sobbing painful cries from deep within. On the phone, honey let me shout and vent and let it out. He did the same. He has yet to confront his MAGA brother. He claims he wants to let things calm down, but I'm skeptical. The one thing that made me feel just a little better was watching Heather Cox Richardson's political talk tonight. The last one was on Saturday and she ended it in tears. Tonight's was much more hopeful and gave me not only hope, but an explanation of the mood of the rest of the country. But my hope is fleeting as things change so very quickly.
I just needed to write this out to get it out so I might sleep. It is such a roller-coaster life right now.
6am Wed: I have been up since 4am. I have gone from a solid 8 hrs of sleep to 5 hrs if I am lucky. My face shows the dark circles of stress and sleeplessness beneath my eyes. My body has morphed into a blob of fat I don’t recognize as I self-soothe with potato chips and puffcorn.
Today I face two days of workload that must be completed in one day with no overtime. No quiet time in which I can focus. Mistakes will be made.
We continue to have below-zero temperatures (since Thursday) and the wind won't stop blowing and there is no end of the cold in sight. I'm tired of spending literally 5 minutes putting on multiple layers of clothing each time I have to go outside. My neck and shoulders ache as I hunch from being cold all the time.
It has been a tough tough year. And we're not even a month in.
8am Wed: My walk complete. My energy restored. Another day. Lead with love, they say. And so I did.
I wrote LOVE in the snow multiple times along my route.
Give love, receive love.",4,4,4,4,4,3,"The entry moves through several distinct sections marked by time and maintains clear internal coherence within each one: political outrage, emotional release, physical stress, workload and weather, then a calmer closing shift. Intense emotion and emphatic language raise arousal but do not significantly disrupt structure; contradictions between despair and hope are acknowledged and partially integrated, and the final section provides a deliberate sense of closure."
"I have removed its picture and edited its contact info to Dead To Me. It was too stressful seeing its ugly face in my messages. I don't want to see the face of evil when I open my messaging or phone app. I should have done this 5 years ago when its evil was revealed to me, but I, always giving people second and third chances and the benefit of the doubt, always hopeful, did not.
I was asleep shortly after 10 and woke at 5 this morning with two wide awake episodes during the night as my heart pounded from the anxiety of what the day to come will bring. Thug enforcement has not lessened. It appears they are invading mobile home parks throughout the area now. The east side has been relatively quiet since they dragged the citizen out of his home in his underwear. The rest of the story? The people they were supposedly looking for in that incident were in prison and the gangsters had been notified of such. So that just goes to show how little investigation they put into it when going after the worst of the worst.
And BTW, local police are under no obligation to assist in federal enforcement of federal laws. Just like feds are not letting locals assist in the investigation of federal murders. Fuck them.
Watched the CNN interview with the lady in the pink coat who took the video of the execution of Alex Pretti. This woman is a true hero and patriot.
She spoke well and for all of us who believe in community in Minnesota. Unbelievable that after 4 days, federal 'investigators' have yet to speak to the her, the witness 6 ft away who recorded the entire thing. Yes, that is the sort of investigation the gangsters are conducting.
And they continue to deflect, launching a raid of Georgia elections offices. Look at this instead! they try to tell people. Well guess what? RELEASE THE EPSTEIN FILES THAT HAVE YOUR CHILD RAPIST NAMES ALL OVER THEM, WHICH YOU HAVE NOT DONE IN VIOLATION OF THE LAW. In July, you said they had all been reviewed, but now you need time to review?
The next election I, and any citizen of the states of america, will demand the destruction of the HSA domestic terrorist database being compiled by these gangsters that contains Minnesotans simply exercising their first amendment rights.
Prissy Krissy needs to go. NOW. There is not a truthful word that comes out of her mouth.",4,4,5,4,4,4,"The entry is highly emotionally charged but remains structurally coherent: it moves through identifiable topics in sequence, with adjacent sentences generally connected and transitions understandable. There is little fragmentation or self-correction, and the piece ends with a definite concluding stance; no meaningful internal contradictions are presented, so contradiction integration is effectively not an issue here."
"I read yesterday's entry and wondered what kind of raving lunatic wrote it. I write to purge it out of my head, and sometimes it just comes out in multiple waves of vomit I guess.
I slept until 6 this morning! I still feel tired though, I guess from the stress. Our bodies are not bult to operate with this level of stress on a sustained basis.
There is no easing of the occupation, contrary to what is being written and said. Any 'easing' comes with demands: turn over the voter rolls. Use your local police to assist us. (Because 4000 armed, masked, camo'd thugs isn't enough.) Just a reminder that the entire Mpls/St Paul police force combined is a quarter of that number. Just a reminder that this is NOT about immigration enforcement. This IS about controlling the midterm elections. Just yesterday, this is what school children had to see creeping outside their building:
A food shelf volunteer was taken away despite showing his papers.
The undocumented white immigrants (Ukrainian, Russian, etc) walk free and with no worries.
And since I am too lazy to type the rest of the news, I am posting this rundown of just a sampling of the  violations by the thugs and gangsters:
In other news, on my walk this morning I found an ID (not a driver's license) for what was obviously an immigrant, lying in the street. Makes me wonder if this is a new tactic: pick up legal immigrants and toss their ID out the window. It just so happened that  local police was parked in a nearby lot, so I turned it in.
All morning yesterday I thought it was Friday. Boy was I disappointed at 1pm when I realized it was only Thursday. Had a slew of Boston procrastinators and expect more this morning. The last day of the month is always the worst for me and where the true procrastinators shine. I just keep repeating to myself ""Lack of planning on your part does not constitute an emergency on my part.""
Another economic strike today which means another no taco friday night as had been our habit. Friday has always been my no cook day. Used to call it frozen food Friday, but honey won't eat frozen dinners anymore unless I buy the ones with two days of sodium. Which I won't do.
I wish it would warm to at least the 20s. I'm tired of waking to 0 or below and walking in two top layers,my parka and balaclava and pair of gloves inside mittens, long underwear, fleece pants and wind pants. It's exhausting just writing that!",3,3,5,4,3,5,"The entry moves through several distinct topics—sleep, political events, work stress, household routine, and weather—with mostly understandable sentence-level coherence, but transitions are abrupt and the overall structure feels list-like rather than integrated. Expression is generally clear and grammatically intact, with little true contradiction or looping, yet the piece lacks a unifying arc and ends without strong closure."
